ID,FECHA,ID_DEPARTAMENTO,NOM OPE,ID_PEDIDO,PRODUCCION,KILOS,VELOCIDAD,TM 1,RAZON TM 1,,,
1,01/01/2023,S1,6,91,,,,60,SO,,,
2,01/01/2023,S1,10,105,,,,60,SO,,,
3,01/01/2023,S1,3,139,,,,60,SO,,,
4,01/01/2023,S1,8,55,,,,60,SO,,,
5,01/01/2023,S1,1,26,,,,60,SO,,,
6,01/01/2023,S1,6,150,,,,60,SO,,,
7,01/01/2023,S1,8,75,,,,60,SO,,,
8,01/01/2023,S1,8,1,,,,60,SO,,,
9,01/01/2023,S1,3,62,,,,60,SO,,,
10,01/01/2023,S1,6,58,,,,60,SO,,,
11,01/01/2023,S1,6,89,,,,60,SO,,,
12,01/01/2023,S1,2,70,,,,60,SO,,,
13,01/01/2023,S1,8,99,,,,60,SO,,,
14,01/01/2023,S1,5,132,,,,60,SO,,,
15,01/01/2023,S1,5,106,,,,60,SO,,,
16,01/01/2023,S1,1,69,,,,60,SO,,,
17,01/01/2023,S1,3,40,,,,60,SO,,,
18,01/01/2023,S1,9,58,,,,60,SO,,,
19,01/01/2023,S1,4,66,,,,60,SO,,,
20,01/01/2023,S1,1,2,,,,60,SO,,,
21,01/01/2023,S1,8,7,,,,60,SO,,,
22,01/01/2023,S1,1,78,,,,60,SO,,,
23,01/01/2023,S1,1,88,,,,60,SO,,,
24,01/01/2023,S1,4,81,,,,60,SO,,,
25,02/01/2023,S1,8,96,0,0,,60,AL,#¡REF!,,
26,02/01/2023,S1,10,55,0,0,,60,TT,,,
27,02/01/2023,S1,9,87,0,0,,60,CO,,,
28,02/01/2023,S1,5,24,0,0,,60,VB,,,
29,02/01/2023,S1,9,126,0,0,,60,VB,,#¡REF!,
30,02/01/2023,S1,2,69,0,0,,60,VB,,,
31,02/01/2023,S1,4,29,1847,58.5,160,30,VB,,,
32,02/01/2023,S1,9,16,0,0,160,60,CO,,,
33,02/01/2023,S1,2,61,10532,238,160,0,,,,
34,02/01/2023,S1,6,148,0,0,160,60,AU,,,
35,02/01/2023,S1,10,140,10532,238,160,0,,,,
36,02/01/2023,S1,5,90,10532,238,160,0,,,,
37,02/01/2023,S1,3,115,7938,182,160,0,,,,
38,02/01/2023,S1,10,1,7926,179,160,0,,,,
39,02/01/2023,S1,1,8,0,0,,60,LI,,,
40,02/01/2023,S1,8,125,8967,206,160,0,,,,
41,02/01/2023,S1,4,8,8951,206,160,0,,,,
42,02/01/2023,S1,10,52,0,0,,60,CO,,,
43,02/01/2023,S1,3,134,0,0,,60,CO,,,
44,02/01/2023,S1,3,25,0,0,,0,,,,
45,02/01/2023,S1,9,83,0,0,,60,OT,,,
46,02/01/2023,S1,4,31,1643,45,150,0,,,,
47,02/01/2023,S1,4,39,0,0,,60,MT,,,
48,02/01/2023,S1,5,7,1732,38,150,0,,,,
49,03/01/2023,S1,2,99,0,0,,60,CO,,,
50,03/01/2023,S1,1,27,0,0,,60,CO,,,
51,03/01/2023,S1,7,17,0,0,,60,CO,,,
52,03/01/2023,S1,4,146,0,0,,60,AU,,,
53,03/01/2023,S1,1,40,0,0,,60,AU,,,
54,03/01/2023,S1,2,23,0,0,,60,CD,,,
55,03/01/2023,S1,1,18,10227,118,150,10,CR,,,
56,03/01/2023,S1,4,39,10227,118,150,30,TT,,,
57,03/01/2023,S1,3,31,0,0,,60,CO,,,
58,03/01/2023,S1,10,127,0,0,,60,CO,,,
59,03/01/2023,S1,9,44,9492,377,160,0,,,,
60,03/01/2023,S1,4,19,9492,377,160,0,,,,
61,03/01/2023,S1,9,28,1800,70,160,0,,#¡REF!,,
62,03/01/2023,S1,2,59,5400,210,160,0,,,,
63,03/01/2023,S1,2,43,0,0,,60,CF,,,
64,03/01/2023,S1,3,18,7000,275,160,0,,,,
65,03/01/2023,S1,10,115,8400,341,160,0,,,,
66,03/01/2023,S1,3,112,8377,339,160,0,,,,
67,03/01/2023,S1,3,57,8674,343,160,0,,,,
68,03/01/2023,S1,2,145,0,0,,60,CF,,,
69,03/01/2023,S1,1,61,10111,408,160,,,,,
70,03/01/2023,S1,7,4,8687,345,160,,,,,
71,03/01/2023,S1,2,16,5079,212,160,30,EM,,,
72,03/01/2023,S1,3,82,4945,179,160,0,,,,
73,04/01/2023,S1,10,18,5405,194,180,0,,,,
74,04/01/2023,S1,9,122,5405,194,180,0,,,,
75,04/01/2023,S1,7,28,5405,194,180,0,,,,
76,04/01/2023,S1,10,33,5405,194,180,0,,,,
77,04/01/2023,S1,6,51,5405,194,180,0,,,,
78,04/01/2023,S1,6,57,5405,194,180,0,,,,
79,04/01/2023,S1,10,55,5405,194,180,0,,,,
80,04/01/2023,S1,1,145,5405,194,180,0,,,,
81,04/01/2023,S1,4,134,5405,194,180,0,,,,
82,04/01/2023,S1,5,105,5405,194,180,0,,,,
83,04/01/2023,S1,5,130,0,0,,60,MT,,,
84,04/01/2023,S1,10,90,0,0,,60,MT,,,
85,04/01/2023,S1,1,116,0,0,,60,CO,,,
86,04/01/2023,S1,7,3,0,0,,60,AU,,,
87,04/01/2023,S1,9,136,0,0,,60,AO,,,
88,04/01/2023,S1,5,97,0,0,,60,AU,,,
89,04/01/2023,S1,5,123,0,0,,60,TS,,,
90,04/01/2023,S1,2,10,3800,43,120,60,AU,,,
91,04/01/2023,S1,2,94,3800,43,120,30,TS,,,
92,04/01/2023,S1,7,36,7600,86,120,0,,,,
93,04/01/2023,S1,4,90,0,0,,60,CO,,,
94,04/01/2023,S1,3,24,0,0,,60,CO,,,
95,04/01/2023,S1,1,59,0,0,,60,AT,,,
